src,trg
07 04 11 09 02 04 01 11 08 02 05 07 06 09 01,06 01 11
03 10 07 04 11 10 06 04 07 03 10 09 01 06 05,08 05 04
02 01 05 10 11 01 02 09 10 06 03 01 10 07 09,01 11 08
05 06 10 11 02 01 05 04 06 08 05 07 02 10 04,06 08 05
05 07 04 10 06 07 01 02 08 03 08 06 04 01 11,01 11 08
09 04 11 07 01 03 06 07 11 05 10 11 07 02 03,06 01 08
04 10 11 02 01 11 03 01 08 07 07 04 10 05 08,01 11 07
07 08 04 10 05 09 10 06 03 11 10 06 04 07 08,01 07 04
06 05 07 03 02 05 08 11 04 03 05 08 02 06 10,11 08 05
01 08 02 03 06 10 04 03 06 05 09 03 10 05 01,06 01 11
11 08 01 04 10 11 03 01 09 02 08 02 11 09 05,06 01 11 08
04 05 08 06 01 02 07 11 09 10 08 10 09 06 02,06 07 05
10 04 02 06 11 03 04 02 06 05 02 09 01 06 07,07 10 04
01 03 08 05 07 05 08 04 11 07 04 10 01 08 09,06 02 05
04 03 08 07 10 01 03 10 06 07 02 06 11 08 07,06 11 09
05 11 03 08 01 01 02 09 05 11 02 07 03 11 08,07 11 04
01 02 09 07 10 07 05 01 06 02 09 07 01 05 10,01 11 07 05
06 11 10 03 01 10 11 04 06 01 09 03 02 06 11,08 05 03
04 09 11 07 01 02 05 09 01 08 04 06 08 01 07,01 11 07
03 04 10 06 07 03 01 09 02 07 07 10 06 09 05,01 02 09 05
03 02 06 08 11 02 05 09 04 01 10 06 05 01 03,01 11 08
05 01 08 09 10 11 05 08 03 06 04 07 08 06 09,06 05 04
01 08 03 10 02 11 03 09 06 08 11 01 03 02 04,11 10 09 01 05
10 05 06 03 11 04 09 10 08 07 09 06 05 07 04,07 10 05
09 03 06 05 08 07 06 08 10 05 02 05 11 01 10,01 10 02 05
08 07 11 04 10 11 07 03 10 09 08 04 07 05 09,01 07 09
02 08 09 10 11 06 03 04 09 11 02 04 07 01 06,03 08 04
04 01 03 11 08 01 04 10 06 08 01 04 08 03 07,01 07 04
01 06 07 02 10 03 01 10 08 06 01 06 03 10 08,01 08 04
06 08 05 10 02 06 07 08 09 04 10 06 11 09 05,06 11 05
09 07 03 06 04 11 06 08 05 09 07 06 02 10 03,06 07 03 04
09 11 07 01 02 04 05 02 06 09 09 06 04 08 02,01 11 05
09 11 03 10 01 08 07 03 09 02 11 06 10 05 09,06 01 05
11 10 08 05 02 06 08 11 04 05 07 03 11 09 05,08 05 04
10 06 08 02 11 05 09 04 08 06 02 03 01 07 04,01 07 08
11 03 06 04 07 03 07 04 02 01 02 10 06 05 04,11 08 04
04 10 01 08 09 04 06 11 05 02 01 05 10 04 08,06 11 05
02 08 03 07 09 09 11 05 07 03 09 04 08 10 01,06 01 05
11 06 02 01 07 02 11 06 10 08 02 03 01 10 05,06 11 08
06 08 02 09 03 07 11 03 01 10 03 04 05 09 07,06 01 08
01 09 10 03 11 03 07 04 09 11 03 01 09 08 07,07 05 04
08 03 05 09 02 03 09 01 08 06 10 02 09 04 06,10 05 03
02 03 01 08 06 02 10 06 09 04 06 05 01 08 11,11 08 04
